Ticker,Date,Actual,Estimate,Surprise,Startdate,Enddate
HSIC,2018-02-20T16:00:00,0.97,0.971,-0.1,2017-11-21T16:00:00,2018-04-04T16:00:00
HST,2018-02-21T16:00:00,0.42,0.393,6.9,2017-11-22T16:00:00,2018-04-05T16:00:00
HSY,2018-02-01T16:00:00,1.03,1.071,-3.8,2017-11-03T16:00:00,2018-03-16T16:00:00
HUM,2018-02-07T16:00:00,2.06,2,3,2017-11-09T16:00:00,2018-03-22T16:00:00
IBM,2018-01-18T16:00:00,5.18,5.174,0.1,2017-10-20T16:00:00,2018-03-02T16:00:00
ICE,2018-02-07T16:00:00,0.73,0.72,1.4,2017-11-09T16:00:00,2018-03-22T16:00:00
IDXX,2018-02-01T16:00:00,0.78,0.728,6.8,2017-11-03T16:00:00,2018-03-16T16:00:00
IFF,2018-02-14T16:00:00,1.4,1.308,7,2017-11-16T16:00:00,2018-03-29T16:00:00
ILMN,2018-01-30T16:00:00,1.44,1.253,14.9,2017-11-01T16:00:00,2018-03-14T16:00:00
INCY,2018-02-15T16:00:00,-0.71,-0.484,-46.7,2017-11-17T16:00:00,2018-04-02T16:00:00
INFO,2018-01-16T16:00:00,0.52,0.512,1.6,2017-10-18T16:00:00,2018-02-28T16:00:00
INTC,2018-01-25T16:00:00,1.08,0.865,24.9,2017-10-27T16:00:00,2018-03-09T16:00:00
INTU,2017-08-22T16:00:00,0.2,0.168,19,2017-05-26T16:00:00,2017-10-04T16:00:00
IP,2018-02-01T16:00:00,1.27,1.189,6.8,2017-11-03T16:00:00,2018-03-16T16:00:00
IPG,2018-02-14T16:00:00,0.79,0.77,2.6,2017-11-16T16:00:00,2018-03-29T16:00:00
IPGP,2018-02-16T16:00:00,1.87,1.733,7.8,2017-11-20T16:00:00,2018-04-03T16:00:00
IQV,2018-02-14T16:00:00,1.4,1.344,4.2,2017-11-16T16:00:00,2018-03-29T16:00:00
IR,2018-01-31T16:00:00,1.02,1.028,-0.8,2017-11-02T16:00:00,2018-03-15T16:00:00
IRM,2018-02-16T16:00:00,0.53,0.58,-8.6,2017-11-20T16:00:00,2018-04-03T16:00:00
ISRG,2018-01-25T16:00:00,2.54,2.355,7.9,2017-10-27T16:00:00,2018-03-09T16:00:00
IT,2018-02-06T16:00:00,1.17,1.32,-11.4,2017-11-08T16:00:00,2018-03-21T16:00:00
ITW,2018-01-24T16:00:00,1.7,1.615,5.3,2017-10-26T16:00:00,2018-03-08T16:00:00
IVZ,2018-01-31T16:00:00,0.73,0.696,4.9,2017-11-02T16:00:00,2018-03-15T16:00:00
JBHT,2018-01-18T16:00:00,0.92,1.01,-9.3,2017-10-20T16:00:00,2018-03-02T16:00:00
JCI,2017-11-09T16:00:00,0.87,0.867,0.3,2017-08-16T16:00:00,2017-12-22T16:00:00
JEC,2017-11-21T16:00:00,0.98,0.823,19.1,2017-08-28T16:00:00,2018-01-05T16:00:00
JNJ,2018-01-23T16:00:00,1.74,1.724,0.9,2017-10-25T16:00:00,2018-03-07T16:00:00
JNPR,2018-01-30T16:00:00,0.53,0.518,2.3,2017-11-01T16:00:00,2018-03-14T16:00:00
JPM,2018-01-12T16:00:00,1.74,1.694,2.4,2017-10-17T16:00:00,2018-02-27T16:00:00
JWN,2017-02-23T16:00:00,1.27,1.153,10.1,2016-11-25T16:00:00,2017-04-06T16:00:00
K,2018-02-08T16:00:00,0.96,0.959,0.1,2017-11-10T16:00:00,2018-03-23T16:00:00
KEY,2018-01-18T16:00:00,0.36,0.36,0,2017-10-20T16:00:00,2018-03-02T16:00:00
KHC,2018-02-16T16:00:00,0.9,0.946,-4.9,2017-11-20T16:00:00,2018-04-03T16:00:00
KIM,2018-02-15T16:00:00,0.39,0.382,2.1,2017-11-17T16:00:00,2018-04-02T16:00:00
KLAC,2017-07-27T16:00:00,1.64,1.597,2.7,2017-05-02T16:00:00,2017-09-08T16:00:00
KMB,2018-01-23T16:00:00,1.57,1.545,1.6,2017-10-25T16:00:00,2018-03-07T16:00:00
KMI,2018-01-17T16:00:00,0.21,0.182,15.4,2017-10-19T16:00:00,2018-03-01T16:00:00
KMX,2017-04-06T16:00:00,0.81,0.786,2.7,2017-01-10T16:00:00,2017-05-19T16:00:00
KO,2018-02-16T16:00:00,0.39,0.385,1.3,2017-11-20T16:00:00,2018-04-03T16:00:00
KORS,2017-05-31T16:00:00,0.73,0.7,4.3,2017-03-06T16:00:00,2017-07-13T16:00:00
KR,2017-03-02T16:00:00,0.53,0.52,1.9,2016-12-02T16:00:00,2017-04-13T16:00:00
KSS,2017-02-23T16:00:00,1.44,1.325,8.7,2016-11-25T16:00:00,2017-04-06T16:00:00
KSU,2018-01-19T16:00:00,1.38,1.363,1.2,2017-10-23T16:00:00,2018-03-05T16:00:00
L,2018-02-12T16:00:00,0.22,0.71,-69.4,2017-11-14T16:00:00,2018-03-27T16:00:00
LB,2017-02-22T16:00:00,2.03,1.9,7,2016-11-23T16:00:00,2017-04-05T16:00:00
LEG,2018-02-05T16:00:00,0.59,0.611,-3.4,2017-11-07T16:00:00,2018-03-20T16:00:00
LEN,2018-01-10T16:00:00,1.29,1.475,-12.5,2017-10-13T16:00:00,2018-02-23T16:00:00
LH,2018-02-06T16:00:00,2.45,2.377,3.1,2017-11-08T16:00:00,2018-03-21T16:00:00
LKQ,2018-02-22T16:00:00,0.41,0.421,-2.6,2017-11-24T16:00:00,2018-04-06T16:00:00
LLL,2018-01-25T16:00:00,2.35,2.22,5.9,2017-10-27T16:00:00,2018-03-09T16:00:00
LLY,2018-01-31T16:00:00,1.14,1.074,6.1,2017-11-02T16:00:00,2018-03-15T16:00:00
LMT,2018-01-29T16:00:00,4.3,4.053,6.1,2017-10-31T16:00:00,2018-03-13T16:00:00
LNC,2018-01-31T16:00:00,1.98,1.937,2.2,2017-11-02T16:00:00,2018-03-15T16:00:00
LNT,2018-02-22T16:00:00,0.33,0.357,-7.6,2017-11-24T16:00:00,2018-04-06T16:00:00
LOW,2017-03-01T16:00:00,0.86,0.785,9.6,2016-12-01T16:00:00,2017-04-12T16:00:00
LRCX,2017-07-26T16:00:00,3.11,3.025,2.8,2017-05-01T16:00:00,2017-09-07T16:00:00
LUK,2018-02-22T16:00:00,0.49,0.47,4,2017-11-24T16:00:00,2018-04-06T16:00:00
LUV,2018-01-25T16:00:00,0.77,0.765,0.7,2017-10-27T16:00:00,2018-03-09T16:00:00
LYB,2018-02-02T16:00:00,2.73,2.546,7.3,2017-11-06T16:00:00,2018-03-19T16:00:00
M,2017-02-21T16:00:00,2.02,1.958,3.2,2016-11-22T16:00:00,2017-04-04T16:00:00
